Dc dPTime iforestTime find_markedNodesTime find_potential_dcNN_listTime relativedistanceTime ccidentificationTime_without_k ccidentificationTime clusterassignTime 
0.203 0.000606862 0.0879526 2.78e-07 0.905718 0.0409065 1.29e-07 1.29e-07 0.000695763
0.204 0.000606862 0.0879526 2.69e-07 0.911483 0.0388166 1.46e-07 1.3e-07 0.000696501
0.205 0.000606862 0.0879526 4.32e-07 0.913125 0.041247 1.3e-07 1.27e-07 0.000696077
0.206 0.000606862 0.0879526 3.09e-07 0.917606 0.0463226 1.49e-07 1.25e-07 0.000694991
0.207 0.000606862 0.0879526 2.75e-07 0.927382 0.0453763 1.46e-07 1.29e-07 0.000709313
0.208 0.000606862 0.0879526 3.97e-07 0.938686 0.0416264 1.8e-07 1.34e-07 0.000694478
0.209 0.000606862 0.0879526 3.19e-07 0.925656 0.0394343 1.78e-07 1.37e-07 0.000693767
0.21 0.000606862 0.0879526 3.12e-07 0.929463 0.0442635 1.32e-07 1.28e-07 0.000695551
0.211 0.000606862 0.0879526 2.47e-07 0.984337 0.0436096 1.97e-07 1.31e-07 0.000712711
0.212 0.000606862 0.0879526 4.52e-07 0.959088 0.0400842 1.46e-07 1.29e-07 0.000694934
0.213 0.000606862 0.0879526 3.73e-07 0.963935 0.0395411 1.48e-07 1.83e-07 0.000694822
0.214 0.000606862 0.0879526 3.13e-07 0.944789 0.039859 1.91e-07 1.36e-07 0.000738639
0.215 0.000606862 0.0879526 2.82e-07 0.936636 0.03957 1.43e-07 1.29e-07 0.000695368
0.216 0.000606862 0.0879526 2.88e-07 0.940745 0.0398218 1.42e-07 1.29e-07 0.00069393
0.217 0.000606862 0.0879526 2.76e-07 0.940686 0.0420469 1.43e-07 1.28e-07 0.000696018
0.218 0.000606862 0.0879526 3.13e-07 0.952923 0.0425371 1.28e-07 1.27e-07 0.000695229
0.219 0.000606862 0.0879526 2.7e-07 0.946791 0.0399671 1.36e-07 1.29e-07 0.000695707
0.22 0.000606862 0.0879526 2.9e-07 0.983516 0.0401444 1.84e-07 1.44e-07 0.00069522
0.221 0.000606862 0.0879526 2.92e-07 0.951849 0.0425928 1.31e-07 1.44e-07 0.000695738
0.222 0.000606862 0.0879526 2.88e-07 0.954249 0.0401115 1.37e-07 1.25e-07 0.000697849
0.223 0.000606862 0.0879526 2.73e-07 0.9566 0.0402727 1.43e-07 1.84e-07 0.000697662
