Dc dPTime iforestTime find_markedNodesTime find_potential_dcNN_listTime relativedistanceTime ccidentificationTime_without_k ccidentificationTime clusterassignTime 
0.287 0.00214238 0.0740391 3.44e-07 0.886197 0.0363251 1.29e-07 1.45e-07 0.00058917
0.288 0.00214238 0.0740391 2.93e-07 0.887266 0.03612 1.86e-07 1.34e-07 0.000570676
0.289 0.00214238 0.0740391 3.62e-07 0.891302 0.0361891 1.36e-07 1.36e-07 0.000571195
0.29 0.00214238 0.0740391 3.01e-07 0.890921 0.0365993 1.4e-07 1.34e-07 0.000575562
0.291 0.00214238 0.0740391 4.58e-07 0.888674 0.035898 1.31e-07 1.27e-07 0.000693123
0.292 0.00214238 0.0740391 3.42e-07 0.893408 0.036325 1.45e-07 1.38e-07 0.000569708
0.293 0.00214238 0.0740391 3e-07 0.893348 0.0362682 1.28e-07 1.25e-07 0.00057005
0.294 0.00214238 0.0740391 2.71e-07 0.894634 0.0362489 1.22e-07 1.87e-07 0.000571276
0.295 0.00214238 0.0740391 3.58e-07 0.894419 0.0382016 1.26e-07 1.27e-07 0.000557427
0.296 0.00214238 0.0740391 3.2e-07 0.899976 0.0385003 1.25e-07 1.81e-07 0.00055725
0.297 0.00214238 0.0740391 3.58e-07 0.899474 0.0384641 1.77e-07 1.32e-07 0.00055919
0.298 0.00214238 0.0740391 3.5e-07 0.897777 0.0387079 1.27e-07 1.25e-07 0.000569091
0.299 0.00214238 0.0740391 2.84e-07 0.899581 0.0384314 1.87e-07 1.3e-07 0.000559421
0.3 0.00214238 0.0740391 3.35e-07 0.903259 0.0386987 1.48e-07 1.47e-07 0.000570048
0.301 0.00214238 0.0740391 4.32e-07 0.899823 0.0390646 1.47e-07 1.27e-07 0.000571957
0.302 0.00214238 0.0740391 2.84e-07 0.901373 0.0384649 2.04e-07 1.39e-07 0.000556431
0.303 0.00214238 0.0740391 4.63e-07 0.917378 0.0410997 1.36e-07 1.3e-07 0.000560373
0.304 0.00214238 0.0740391 3.5e-07 0.917328 0.0434341 2.04e-07 1.29e-07 0.000558255
