Dc dPTime iforestTime find_markedNodesTime find_potential_dcNN_listTime relativedistanceTime ccidentificationTime_without_k ccidentificationTime clusterassignTime 
0.232 0.000796496 0.0952426 3.47e-07 2.3974 0.0992015 1.45e-07 1.24e-07 0.000975874
0.233 0.000796496 0.0952426 2.65e-07 2.40867 0.0959745 1.55e-07 1.27e-07 0.000978197
0.234 0.000796496 0.0952426 2.97e-07 2.41112 0.103204 1.41e-07 1.29e-07 0.000981352
0.235 0.000796496 0.0952426 2.77e-07 2.41428 0.0960708 1.38e-07 1.82e-07 0.000975519
0.236 0.000796496 0.0952426 2.87e-07 2.42584 0.10369 1.46e-07 1.3e-07 0.000981188
0.237 0.000796496 0.0952426 4.07e-07 2.43146 0.101001 1.33e-07 1.28e-07 0.000982528
0.238 0.000796496 0.0952426 2.52e-07 2.44038 0.0970924 1.31e-07 1.47e-07 0.000979438
0.239 0.000796496 0.0952426 2.61e-07 2.44703 0.0973654 1.3e-07 1.29e-07 0.000977835
0.24 0.000796496 0.0952426 2.84e-07 2.45455 0.0977022 1.28e-07 1.41e-07 0.00097587
0.241 0.000796496 0.0952426 3.58e-07 2.45696 0.101258 1.44e-07 1.29e-07 0.000978286
0.242 0.000796496 0.0952426 3.12e-07 2.45917 0.108374 1.37e-07 1.29e-07 0.000979802
0.243 0.000796496 0.0952426 2.57e-07 2.45889 0.0977981 1.39e-07 1.45e-07 0.000974301
0.244 0.000796496 0.0952426 3.43e-07 2.4633 0.104959 1.95e-07 1.27e-07 0.000981896
0.245 0.000796496 0.0952426 3.77e-07 2.46712 0.0979332 1.53e-07 1.29e-07 0.000983966
0.246 0.000796496 0.0952426 3.85e-07 2.46304 0.0979753 1.38e-07 1.29e-07 0.000979896
0.247 0.000796496 0.0952426 2.55e-07 2.46683 0.105058 1.53e-07 1.86e-07 0.000975269
0.248 0.000796496 0.0952426 3.29e-07 2.47247 0.105237 1.39e-07 1.36e-07 0.000981569
0.249 0.000796496 0.0952426 2.73e-07 2.47054 0.105269 1.86e-07 1.31e-07 0.00098178
0.25 0.000796496 0.0952426 4.25e-07 2.476 0.0985797 1.85e-07 1.33e-07 0.000979787
0.251 0.000796496 0.0952426 3.45e-07 2.48242 0.102081 1.41e-07 1.84e-07 0.000978763
0.252 0.000796496 0.0952426 3.76e-07 2.49345 0.0987144 1.32e-07 1.47e-07 0.000988316
0.253 0.000796496 0.0952426 2.74e-07 2.49696 0.102782 1.34e-07 1.31e-07 0.000979024
0.254 0.000796496 0.0952426 3.01e-07 2.50401 0.102602 1.87e-07 1.4e-07 0.000980299
0.255 0.000796496 0.0952426 3.25e-07 2.5108 0.10309 1.41e-07 1.35e-07 0.000979616
0.256 0.000796496 0.0952426 3.64e-07 2.51533 0.0997377 1.3e-07 1.49e-07 0.000977347
0.257 0.000796496 0.0952426 2.96e-07 2.52428 0.107263 1.32e-07 1.37e-07 0.000981563
0.258 0.000796496 0.0952426 8.53e-07 2.52591 0.100304 1.47e-07 1.29e-07 0.000980909
0.259 0.000796496 0.0952426 3.05e-07 2.54393 0.100706 1.33e-07 1.46e-07 0.000976905
0.26 0.000796496 0.0952426 2.81e-07 2.54577 0.100918 1.32e-07 1.84e-07 0.000976045
0.261 0.000796496 0.0952426 3.27e-07 2.5487 0.107937 1.45e-07 1.28e-07 0.000978765
0.262 0.000796496 0.0952426 4.49e-07 2.55125 0.104387 1.47e-07 1.28e-07 0.000991837
0.263 0.000796496 0.0952426 2.65e-07 2.55715 0.104723 1.39e-07 1.3e-07 0.000978192
0.264 0.000796496 0.0952426 2.98e-07 2.56783 0.105245 1.3e-07 1.23e-07 0.000980553
0.265 0.000796496 0.0952426 2.39e-07 2.58106 0.101734 1.84e-07 1.28e-07 0.000979458
0.266 0.000796496 0.0952426 3.78e-07 2.59474 0.105865 1.33e-07 1.31e-07 0.000978703
0.267 0.000796496 0.0952426 2.81e-07 2.5934 0.105713 1.78e-07 1.34e-07 0.000981009
0.268 0.000796496 0.0952426 2.9e-07 2.59896 0.106011 1.3e-07 1.31e-07 0.000978225
0.269 0.000796496 0.0952426 3.63e-07 2.60518 0.105894 1.34e-07 1.45e-07 0.000976156
0.27 0.000796496 0.0952426 2.62e-07 2.60594 0.106072 1.32e-07 1.35e-07 0.000977928
0.271 0.000796496 0.0952426 3.31e-07 2.60401 0.112998 1.38e-07 1.29e-07 0.000977901
0.272 0.000796496 0.0952426 2.92e-07 2.60645 0.11319 1.41e-07 1.85e-07 0.000977853
0.273 0.000796496 0.0952426 2.63e-07 2.60859 0.113282 1.3e-07 1.28e-07 0.000977901
0.274 0.000796496 0.0952426 2.31e-07 2.63374 0.107193 1.37e-07 1.31e-07 0.000978939
0.275 0.000796496 0.0952426 3.46e-07 2.63286 0.107029 1.32e-07 1.3e-07 0.0009758
0.276 0.000796496 0.0952426 3.7e-07 2.63915 0.114237 1.29e-07 1.28e-07 0.000976428
0.277 0.000796496 0.0952426 3.22e-07 2.63664 0.117985 1.38e-07 1.85e-07 0.000978577
0.278 0.000796496 0.0952426 3.37e-07 2.6417 0.107306 1.31e-07 1.3e-07 0.000981043
0.279 0.000796496 0.0952426 3.88e-07 2.65777 0.104032 1.36e-07 1.4e-07 0.00097554
0.28 0.000796496 0.0952426 2.47e-07 2.65745 0.111188 1.34e-07 1.32e-07 0.000977824
0.281 0.000796496 0.0952426 3.31e-07 2.65523 0.104237 1.29e-07 1.82e-07 0.00097848
0.282 0.000796496 0.0952426 3.66e-07 2.6609 0.111364 1.29e-07 1.28e-07 0.00100961
